"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.818006667E-1,3.412453784E-2,6.400855612E-3,4.519371450E-2,5.699058576E-2
6.918036666E-1,5.429015480E-2,6.390659530E-3,4.713615954E-2,7.218087679E-2
7.018066667E-1,5.472596423E-2,-1.719629578E-4,4.728526354E-2,7.232466301E-2
7.118086667E-1,3.462430576E-2,-1.018166525E-2,3.036985338E-2,4.716817625E-2
7.218116667E-1,1.557679520E-2,-9.101392161E-3,4.728350937E-2,5.060832092E-2
7.318146667E-1,7.808431168E-3,-2.045361517E-2,2.632708848E-2,3.424087555E-2
7.418166667E-1,1.123728868E-2,-1.186431119E-2,3.665736437E-2,4.013478416E-2
7.518196666E-1,2.773542691E-2,-2.190184258E-2,3.471842766E-2,4.954103182E-2
7.618226667E-1,9.395306110E-3,1.019023508E-3,4.100710809E-2,4.208198070E-2
7.718246666E-1,1.994501248E-2,8.748110700E-3,4.804306269E-2,5.274911218E-2
7.818304583E-1,2.521954817E-2,1.525081750E-2,6.076777339E-2,6.753765859E-2
7.918334584E-1,3.189799578E-2,1.360648910E-2,5.821955681E-2,6.776529698E-2
8.018354583E-1,3.626368230E-2,7.796421535E-3,5.896624625E-2,6.966245071E-2
8.118384584E-1,3.997127384E-2,1.147945477E-2,4.893476307E-2,6.421909102E-2
8.218414583E-1,3.696812104E-2,-5.135426782E-3,4.249814808E-2,5.656065039E-2
8.318434583E-1,5.263053227E-2,-1.581531135E-2,5.027845323E-2,7.448503111E-2
8.418464583E-1,4.666522570E-2,-2.861214381E-2,4.444000840E-2,7.050682527E-2
8.518494584E-1,3.195729477E-2,-1.454953535E-2,4.309164047E-2,5.558639354E-2
8.618514583E-1,3.280959497E-2,-1.038467327E-2,3.321393907E-2,4.782757269E-2
8.718544584E-1,3.013387711E-2,-3.193201013E-3,5.866102159E-2,6.602546885E-2
8.818574583E-1,3.128126071E-2,5.085323453E-3,6.105779529E-2,6.879267513E-2
